neighbourhood,host_since,host_listings_count,host_identity_verified,property_type,room_type,accommodates,beds,price,log_price,location_cluster
Mission,2011-09-06,1,1,Entire rental unit,Entire home/apt,2,1,202.0,5.313205979041787,3
South of Market,2016-10-13,5,1,Entire townhouse,Entire home/apt,6,3,569.0,6.345636360828596,0
South of Market,2016-10-13,5,1,Private room in townhouse,Private room,2,1,128.0,4.859812404361672,0
Western Addition,2014-04-16,1,0,Private room in rental unit,Private room,2,1,275.0,5.62040086571715,1
Inner Richmond,2019-10-18,22,1,Entire rental unit,Entire home/apt,2,1,125.0,4.836281906951478,1
Western Addition,2015-12-24,43,1,Entire rental unit,Entire home/apt,2,1,58.0,4.07753744390572,0
Inner Richmond,2014-11-13,28,1,Entire rental unit,Entire home/apt,2,1,95.0,4.564348191467836,2
Lakeshore,2016-07-04,3,1,Entire rental unit,Entire home/apt,4,4,99.0,4.605170185988092,4
Financial District,2021-10-29,3,1,Private room in serviced apartment,Private room,2,1,70.0,4.2626798770413155,0
Parkside,2013-10-04,6,1,Private room in home,Private room,2,1,55.0,4.02535169073515,2
Marina,2015-11-12,1,1,Entire condo,Entire home/apt,2,2,150.0,5.017279836814924,1
Outer Sunset,2013-10-04,6,1,Private room in home,Private room,2,1,55.0,4.02535169073515,2
South of Market,2016-12-16,138,1,Entire rental unit,Entire home/apt,2,1,241.0,5.488937726156687,0
Inner Richmond,2012-12-04,2,1,Entire rental unit,Entire home/apt,5,4,361.0,5.8916442118257715,1
Bayview,2011-07-31,1,1,Entire condo,Entire home/apt,4,2,211.0,5.356586274672012,3
Pacific Heights,2019-10-18,22,1,Entire rental unit,Entire home/apt,2,1,111.0,4.718498871295094,1
Excelsior,2018-11-19,14,1,Private room in home,Private room,1,2,65.0,4.189654742026425,3
Bayview,2021-10-25,4,1,Entire guest suite,Entire home/apt,5,4,132.0,4.890349128221754,3
Haight Ashbury,2022-01-11,1,1,Entire condo,Entire home/apt,4,2,229.0,5.438079308923196,1
Excelsior,2014-05-23,1,1,Entire guest suite,Entire home/apt,4,2,295.0,5.69035945432406,4
Outer Sunset,2022-01-12,1,1,Private room in home,Private room,2,1,150.0,5.017279836814924,2
Castro/Upper Market,2012-07-19,1,1,Entire home,Entire home/apt,4,2,252.0,5.53338948872752,1
Bayview,2011-12-16,1,1,Entire condo,Entire home/apt,4,1,141.0,4.955827057601261,3
Mission,2012-12-17,154,1,Entire rental unit,Entire home/apt,2,1,109.0,4.700480365792417,3
North Beach,2017-05-10,1,1,Entire condo,Entire home/apt,2,1,300.0,5.707110264748875,0
Excelsior,2015-08-03,1,1,Entire guest suite,Entire home/apt,2,1,82.0,4.418840607796598,4
Noe Valley,2014-10-18,1,1,Entire condo,Entire home/apt,4,2,375.0,5.929589143389895,1
South of Market,2019-06-02,1,1,Entire condo,Entire home/apt,2,1,122.0,4.812184355372417,0
Marina,2017-11-09,25,0,Private room in rental unit,Private room,1,1,68.0,4.23410650459726,0
Nob Hill,2022-01-17,1,0,Entire rental unit,Entire home/apt,4,2,210.0,5.351858133476067,0
Potrero Hill,2012-05-02,1,0,Entire condo,Entire home/apt,4,2,249.0,5.521460917862246,3
Downtown/Civic Center,2021-08-05,3,1,Room in boutique hotel,Private room,2,1,174.0,5.1647859739235145,0
Downtown/Civic Center,2021-08-05,3,1,Room in boutique hotel,Private room,2,1,213.0,5.365976015021851,0
Pacific Heights,2015-10-12,1,1,Entire rental unit,Entire home/apt,4,0,300.0,5.707110264748875,0
Inner Sunset,2015-09-11,7,1,Private room in rental unit,Private room,1,1,70.0,4.2626798770413155,1
Marina,2012-11-14,2,1,Entire condo,Entire home/apt,2,2,235.0,5.4638318050256105,0
Crocker Amazon,2016-10-04,2,1,Entire rental unit,Entire home/apt,6,3,258.0,5.556828061699537,4
South of Market,2019-09-08,5,1,Private room in townhouse,Private room,2,1,145.0,4.983606621708336,0
Lakeshore,2016-07-04,3,1,Private room in home,Private room,1,1,50.0,3.9318256327243257,4
Ocean View,2016-05-04,1,1,Entire home,Entire home/apt,6,3,140.0,4.948759890378168,4
South of Market,2016-12-16,138,1,Entire rental unit,Entire home/apt,2,1,362.0,5.8944028342648505,0
Castro/Upper Market,2017-06-19,1,1,Entire home,Entire home/apt,8,3,1750.0,7.467942332285852,1
Excelsior,2015-01-20,1,1,Entire guest suite,Entire home/apt,4,2,164.0,5.10594547390058,3
North Beach,2020-04-23,1,1,Entire rental unit,Entire home/apt,2,1,185.0,5.225746673713202,0
Chinatown,2014-08-29,20,1,Entire serviced apartment,Entire home/apt,4,2,145.0,4.983606621708336,0
Downtown/Civic Center,2022-11-07,29,1,Room in hotel,Private room,2,1,99.0,4.605170185988092,0
South of Market,2012-09-24,1,1,Entire condo,Entire home/apt,4,2,153.0,5.0369526024136295,0
Financial District,2020-06-24,1,1,Entire condo,Entire home/apt,3,2,650.0,6.478509642208569,0
Nob Hill,2016-11-04,12,1,Room in boutique hotel,Private room,2,1,120.0,4.795790545596741,0
Western Addition,2014-05-04,1,1,Entire condo,Entire home/apt,8,4,386.0,5.958424693029782,1
Bernal Heights,2014-01-09,1,1,Entire home,Entire home/apt,5,3,200.0,5.303304908059076,3
Outer Richmond,2018-03-06,1,1,Entire home,Entire home/apt,3,2,122.0,4.812184355372417,2
Excelsior,2018-11-19,14,1,Private room in home,Private room,2,1,67.0,4.219507705176107,3
Bernal Heights,2010-07-15,1,1,Entire condo,Entire home/apt,4,2,265.0,5.583496308781699,3
Outer Sunset,2021-07-01,1,1,Entire condo,Entire home/apt,2,1,400.0,5.993961427306569,2
South of Market,2019-12-22,4,1,Private room in rental unit,Private room,2,1,109.0,4.700480365792417,0
Mission,2022-07-15,9,1,Private room in bed and breakfast,Private room,2,1,161.0,5.087596335232384,3
Castro/Upper Market,2012-09-01,2,1,Entire home,Entire home/apt,6,3,625.0,6.439350371100098,1
Mission,2011-06-28,1,0,Private room in condo,Private room,1,1,67.0,4.219507705176107,3
Castro/Upper Market,2012-02-15,5,1,Entire condo,Entire home/apt,3,1,199.0,5.298317366548036,1
Presidio Heights,2011-11-27,1,1,Entire condo,Entire home/apt,2,1,88.0,4.48863636973214,1
North Beach,2018-11-30,3,0,Entire rental unit,Entire home/apt,2,1,75.0,4.330733340286331,0
Haight Ashbury,2016-04-01,1,0,Entire guest suite,Entire home/apt,4,1,200.0,5.303304908059076,1
Diamond Heights,2013-03-25,1,1,Entire home,Entire home/apt,6,4,1045.0,6.952728644624869,4
Pacific Heights,2021-02-08,4,1,Entire serviced apartment,Entire home/apt,2,1,99.0,4.605170185988092,1
Mission,2014-12-19,1,1,Private room in home,Private room,2,1,100.0,4.61512051684126,3
Castro/Upper Market,2017-01-13,1,0,Entire rental unit,Entire home/apt,6,3,121.0,4.804021044733257,1
Mission,2020-11-13,20,1,Private room in rental unit,Private room,1,1,70.0,4.2626798770413155,1
Mission,2020-11-13,20,1,Private room in home,Private room,1,1,70.0,4.2626798770413155,1
Bayview,2023-05-07,2,1,Entire home,Entire home/apt,4,2,107.0,4.68213122712422,3
Mission,2020-11-13,20,1,Private room in home,Private room,1,1,49.0,3.912023005428146,1
South of Market,2016-12-16,138,1,Entire rental unit,Entire home/apt,2,1,244.0,5.501258210544727,0
Outer Richmond,2023-03-11,6,1,Private room in rental unit,Private room,2,1,54.0,4.007333185232471,2
Outer Richmond,2023-03-11,6,1,Private room in rental unit,Private room,2,1,55.0,4.02535169073515,2
Outer Richmond,2023-03-11,6,1,Private room in rental unit,Private room,2,1,55.0,4.02535169073515,2
South of Market,2016-12-16,138,1,Entire rental unit,Entire home/apt,4,2,370.0,5.916202062607435,0
Inner Sunset,2013-06-24,5,0,Entire rental unit,Entire home/apt,2,1,83.0,4.430816798843313,2
Mission,2014-11-04,1,1,Entire condo,Entire home/apt,6,2,325.0,5.786897381366708,3
South of Market,2013-12-24,3,0,Entire loft,Entire home/apt,3,1,139.0,4.941642422609304,0
Lakeshore,2016-07-04,3,1,Private room in home,Private room,1,1,38.0,3.6635616461296463,4
Western Addition,2022-02-08,1,0,Entire rental unit,Entire home/apt,2,1,175.0,5.170483995038151,1
Outer Sunset,2014-10-19,2,1,Entire condo,Entire home/apt,7,3,140.0,4.948759890378168,2
Mission,2020-11-13,20,1,Private room in home,Private room,1,1,68.0,4.23410650459726,1
Downtown/Civic Center,2016-06-13,5,1,Room in hotel,Private room,2,1,103.0,4.6443908991413725,0
Bernal Heights,2015-05-26,1,1,Entire home,Entire home/apt,6,3,290.0,5.673323267171493,3
Downtown/Civic Center,2016-05-06,46,1,Entire serviced apartment,Entire home/apt,3,2,118.0,4.77912349311153,0
Downtown/Civic Center,2016-08-07,17,1,Room in boutique hotel,Private room,2,1,201.0,5.308267697401205,0
Chinatown,2022-02-13,2,1,Room in hotel,Private room,2,1,128.0,4.859812404361672,0
South of Market,2015-10-02,2,1,Entire home,Entire home/apt,9,4,853.0,6.74993119378857,0
Haight Ashbury,2015-04-07,1,1,Entire rental unit,Entire home/apt,2,1,285.0,5.655991810819852,1
Western Addition,2022-02-14,1,1,Private room in home,Private room,2,1,109.0,4.700480365792417,1
South of Market,2021-01-23,1,1,Entire rental unit,Entire home/apt,8,4,443.0,6.095824562432225,0
Mission,2020-11-13,20,1,Private room in home,Private room,1,1,65.0,4.189654742026425,1
Inner Sunset,2016-07-07,1,1,Entire guest suite,Entire home/apt,6,2,120.0,4.795790545596741,2
South of Market,2016-12-16,138,1,Entire rental unit,Entire home/apt,2,1,307.0,5.730099782973574,0
Ocean View,2011-11-03,5,1,Private room in home,Private room,2,1,111.0,4.718498871295094,4
Bernal Heights,2018-03-14,1,1,Entire home,Entire home/apt,6,4,375.0,5.929589143389895,3
Twin Peaks,2010-10-15,3,1,Entire rental unit,Entire home/apt,4,1,120.0,4.795790545596741,1
Pacific Heights,2009-09-15,22,1,Entire condo,Entire home/apt,2,1,118.0,4.77912349311153,0
Mission,2011-10-06,28,1,Entire condo,Entire home/apt,2,2,198.0,5.293304824724492,1
Outer Sunset,2012-03-28,1,1,Entire home,Entire home/apt,3,3,260.0,5.564520407322694,2
Crocker Amazon,2021-12-01,2,1,Private room in home,Private room,2,1,64.0,4.174387269895637,4
Inner Richmond,2016-08-22,26,1,Entire rental unit,Entire home/apt,4,2,25000.0,10.12667110305036,2
Mission,2017-04-28,30,1,Entire rental unit,Entire home/apt,2,1,113.0,4.736198448394496,1
Inner Sunset,2023-04-21,1,0,Private room in rental unit,Private room,1,1,60.0,4.110873864173311,2
North Beach,2017-03-27,1,0,Entire condo,Entire home/apt,2,1,119.0,4.787491742782046,0
Financial District,2019-11-19,7,1,Room in hotel,Private room,2,1,139.0,4.941642422609304,0
Financial District,2019-11-19,7,1,Room in hotel,Private room,2,1,83.0,4.430816798843313,0
Noe Valley,2022-12-19,1,1,Entire home,Entire home/apt,10,4,175.0,5.170483995038151,3
Mission,2011-07-26,9,1,Private room in home,Private room,1,1,50.0,3.9318256327243257,1
North Beach,2019-11-15,7,1,Room in hotel,Private room,2,1,289.0,5.66988092298052,0
North Beach,2019-11-15,7,1,Room in hotel,Private room,2,1,246.0,5.5093883366279774,0
Haight Ashbury,2018-03-29,7,1,Entire home,Entire home/apt,5,4,229.0,5.438079308923196,1
Nob Hill,2019-10-26,13,1,Entire condo,Entire home/apt,2,1,175.0,5.170483995038151,0
Outer Mission,2018-10-10,5,1,Entire rental unit,Entire home/apt,4,2,129.0,4.867534450455582,4
Mission,2016-09-05,1,1,Entire condo,Entire home/apt,2,1,170.0,5.14166355650266,3
Downtown/Civic Center,2016-06-09,8,0,Shared room in hostel,Shared room,4,4,39.0,3.6888794541139363,0
Bayview,2013-03-12,1,1,Private room in condo,Private room,2,1,90.0,4.51085950651685,3
Russian Hill,2023-05-11,1,1,Entire rental unit,Entire home/apt,4,2,232.0,5.4510384535657,0
Glen Park,2022-02-22,1,1,Entire home,Entire home/apt,6,4,199.0,5.298317366548036,4
Mission,2020-11-13,20,1,Private room in home,Private room,1,1,68.0,4.23410650459726,1
Outer Sunset,2022-02-22,3,1,Entire guest suite,Entire home/apt,2,1,153.0,5.0369526024136295,2
Outer Sunset,2022-02-22,3,1,Entire guest suite,Entire home/apt,4,2,257.0,5.552959584921617,2
Mission,2011-10-06,28,1,Entire condo,Entire home/apt,2,1,151.0,5.0238805208462765,1
Financial District,2016-12-16,138,1,Entire rental unit,Entire home/apt,4,2,433.0,6.073044534100405,0
Potrero Hill,2016-12-08,1,1,Entire rental unit,Entire home/apt,5,3,360.0,5.8888779583328805,3
Pacific Heights,2023-04-22,6,0,Shared room,Shared room,2,1,64.0,4.174387269895637,0
Pacific Heights,2023-04-22,6,0,Shared room,Shared room,1,1,59.0,4.0943445622221,0
Nob Hill,2011-11-04,1,1,Private room in home,Private room,2,1,120.0,4.795790545596741,0
Financial District,2016-12-16,138,1,Entire rental unit,Entire home/apt,4,2,446.0,6.102558594613569,0
Mission,2022-12-20,1,1,Entire rental unit,Entire home/apt,4,3,125.0,4.836281906951478,3
Chinatown,2023-01-13,14,0,Entire rental unit,Entire home/apt,4,2,264.0,5.579729825986222,0
Outer Richmond,2022-12-20,1,1,Entire home,Entire home/apt,6,4,220.0,5.3981627015177525,2
Potrero Hill,2019-02-20,2,0,Entire rental unit,Entire home/apt,2,1,125.0,4.836281906951478,3
Downtown/Civic Center,2022-11-07,29,1,Room in hotel,Private room,2,1,102.0,4.634728988229636,0
North Beach,2020-09-27,2,1,Entire rental unit,Entire home/apt,4,2,157.0,5.062595033026967,0
North Beach,2018-06-15,1,1,Entire rental unit,Entire home/apt,4,2,160.0,5.081404364984463,0
Chinatown,2023-01-13,14,0,Entire rental unit,Entire home/apt,4,2,264.0,5.579729825986222,0
Chinatown,2022-02-13,2,1,Room in hotel,Private room,4,2,153.0,5.0369526024136295,0
Bayview,2012-08-20,1,1,Entire guest suite,Entire home/apt,3,1,75.0,4.330733340286331,3
Inner Sunset,2009-09-15,22,1,Entire rental unit,Entire home/apt,2,1,114.0,4.74493212836325,2
Bernal Heights,2022-12-20,8,1,Private room in rental unit,Private room,2,2,89.0,4.499809670330265,3
Castro/Upper Market,2011-09-03,1,1,Entire rental unit,Entire home/apt,2,2,250.0,5.5254529391317835,1
Potrero Hill,2015-01-18,2,1,Entire townhouse,Entire home/apt,4,3,434.0,6.075346031088684,3
Bayview,2015-02-02,4,1,Private room in home,Private room,1,1,60.0,4.110873864173311,3
West of Twin Peaks,2022-01-12,2,1,Entire home,Entire home/apt,10,5,3502.0,8.161375023197486,4
Bernal Heights,2022-12-20,8,1,Private room in rental unit,Private room,2,1,87.0,4.477336814478207,3
Mission,2012-12-17,154,1,Entire rental unit,Entire home/apt,3,1,130.0,4.875197323201151,3
South of Market,2012-10-02,2,1,Entire condo,Entire home/apt,4,2,299.0,5.703782474656201,0
Parkside,2016-09-09,1,1,Private room in home,Private room,3,1,77.0,4.356708826689592,2
Marina,2022-02-26,1,1,Entire home,Entire home/apt,10,5,1324.0,7.1891677384203225,1
Noe Valley,2014-07-01,1,1,Entire condo,Entire home/apt,4,2,347.0,5.8522024797744745,1
Mission,2014-04-04,2,1,Entire condo,Entire home/apt,5,3,200.0,5.303304908059076,3
Haight Ashbury,2022-02-27,1,1,Entire condo,Entire home/apt,4,2,626.0,6.440946540632921,1
Mission,2020-11-13,20,1,Private room in home,Private room,1,1,67.0,4.219507705176107,1
Mission,2020-11-13,20,1,Private room in home,Private room,1,1,46.0,3.8501476017100584,1
Bernal Heights,2022-12-20,8,1,Private room in rental unit,Private room,2,1,94.0,4.553876891600541,3
Mission,2011-07-26,9,1,Private room in home,Private room,1,1,62.0,4.143134726391533,1
Mission,2020-11-13,20,1,Private room in home,Private room,1,1,78.0,4.3694478524670215,1
Ocean View,2018-08-12,1,1,Entire condo,Entire home/apt,4,3,199.0,5.298317366548036,4
Mission,2014-08-05,1,1,Entire rental unit,Entire home/apt,4,2,400.0,5.993961427306569,3
Castro/Upper Market,2022-03-01,1,1,Entire rental unit,Entire home/apt,3,1,100.0,4.61512051684126,1
Russian Hill,2022-12-23,1,0,Entire rental unit,Entire home/apt,2,1,175.0,5.170483995038151,0
Twin Peaks,2012-11-08,2,1,Entire home,Entire home/apt,4,3,325.0,5.786897381366708,1
South of Market,2019-05-22,7,1,Entire rental unit,Entire home/apt,4,2,237.0,5.472270673671475,0
Mission,2011-06-09,1,1,Entire condo,Entire home/apt,3,2,345.0,5.846438775057725,3
North Beach,2016-12-16,138,1,Entire rental unit,Entire home/apt,2,1,296.0,5.6937321388027,0
Noe Valley,2013-04-16,3,1,Private room in home,Private room,2,1,249.0,5.521460917862246,1
Nob Hill,2014-08-25,2,1,Entire rental unit,Entire home/apt,2,1,95.0,4.564348191467836,0
Noe Valley,2015-08-10,1,1,Entire home,Entire home/apt,4,2,275.0,5.62040086571715,1
Inner Sunset,2014-04-23,1,1,Entire guest suite,Entire home/apt,2,1,121.0,4.804021044733257,2
Financial District,2016-12-16,138,1,Entire rental unit,Entire home/apt,4,2,452.0,6.115892125483034,0
Crocker Amazon,2011-06-06,2,1,Private room in guest suite,Private room,1,1,500.0,6.2166061010848646,4
Excelsior,2022-03-09,1,1,Shared room in home,Shared room,6,2,299.0,5.703782474656201,3
Castro/Upper Market,2011-08-30,1,1,Entire guest suite,Entire home/apt,2,1,120.0,4.795790545596741,1
Downtown/Civic Center,2015-12-24,43,1,Entire rental unit,Entire home/apt,2,1,63.0,4.1588830833596715,0
Inner Richmond,2017-02-24,2,1,Entire rental unit,Entire home/apt,10,4,476.0,6.1675164908883415,2
North Beach,2018-11-11,2,1,Entire condo,Entire home/apt,6,3,388.0,5.963579343618446,0
North Beach,2018-11-11,2,1,Private room in condo,Private room,6,2,403.0,6.0014148779611505,0
Bernal Heights,2014-01-31,2,1,Entire home,Entire home/apt,4,2,230.0,5.442417710521793,3
Outer Sunset,2017-06-21,5,1,Private room in home,Private room,1,1,65.0,4.189654742026425,2
Outer Richmond,2017-09-15,7,0,Private room in townhouse,Private room,1,1,63.0,4.1588830833596715,2
Downtown/Civic Center,2015-12-24,43,1,Entire condo,Entire home/apt,4,2,115.0,4.7535901911063645,0
Bayview,2010-03-19,3,1,Private room in home,Private room,1,1,89.0,4.499809670330265,3
Outer Mission,2022-03-14,4,1,Private room in home,Private room,3,2,58.0,4.07753744390572,4
Bernal Heights,2011-10-06,28,1,Entire rental unit,Entire home/apt,2,2,235.0,5.4638318050256105,3
Castro/Upper Market,2018-05-14,1,1,Entire home,Entire home/apt,6,3,285.0,5.655991810819852,1
Potrero Hill,2016-03-12,1,1,Entire loft,Entire home/apt,2,1,135.0,4.912654885736052,3
Western Addition,2013-11-23,3,1,Private room in rental unit,Private room,1,1,68.0,4.23410650459726,1
South of Market,2019-09-08,5,1,Private room in condo,Private room,4,2,329.0,5.799092654460526,0
Nob Hill,2011-10-06,28,1,Entire rental unit,Entire home/apt,2,1,135.0,4.912654885736052,0
North Beach,2022-02-18,3,1,Entire condo,Entire home/apt,2,1,290.0,5.673323267171493,0
Visitacion Valley,2015-10-14,1,1,Entire home,Entire home/apt,7,4,166.0,5.117993812416755,3
Nob Hill,2015-10-14,6,1,Entire rental unit,Entire home/apt,2,1,69.0,4.248495242049359,0
Outer Richmond,2016-06-20,8,1,Entire guest suite,Entire home/apt,3,1,174.0,5.1647859739235145,2
South of Market,2014-02-16,1,1,Entire loft,Entire home/apt,2,3,185.0,5.225746673713202,0
Marina,2018-02-16,1,1,Entire condo,Entire home/apt,4,2,650.0,6.478509642208569,1
Pacific Heights,2015-05-08,2,1,Entire condo,Entire home/apt,3,1,200.0,5.303304908059076,0
Lakeshore,2014-06-07,1,0,Entire home,Entire home/apt,5,3,236.0,5.4680601411351315,2
Bayview,2019-06-27,2,1,Entire place,Entire home/apt,2,1,188.0,5.241747015059643,3
North Beach,2015-10-12,1,1,Entire rental unit,Entire home/apt,1,1,90.0,4.51085950651685,0
Nob Hill,2015-03-18,4,1,Private room in home,Private room,2,1,175.0,5.170483995038151,0
Haight Ashbury,2022-03-22,11,1,Entire rental unit,Entire home/apt,8,5,395.0,5.981414211254481,1
Western Addition,2016-08-07,17,1,Entire rental unit,Entire home/apt,2,1,251.0,5.529429087511423,0
Noe Valley,2015-07-18,2,1,Entire rental unit,Entire home/apt,4,2,175.0,5.170483995038151,3
Outer Sunset,2022-03-23,3,1,Private room in home,Private room,3,2,75.0,4.330733340286331,2
Potrero Hill,2015-03-16,1,1,Entire rental unit,Entire home/apt,3,1,170.0,5.14166355650266,3
Inner Sunset,2017-05-20,24,1,Private room in home,Private room,4,2,69.0,4.248495242049359,2
Western Addition,2015-08-15,2,1,Entire condo,Entire home/apt,5,2,322.0,5.777652323222656,1
Nob Hill,2015-03-18,4,1,Entire home,Entire home/apt,6,3,381.0,5.945420608606575,0
Noe Valley,2022-03-25,1,0,Entire serviced apartment,Entire home/apt,2,1,155.0,5.049856007249537,1
Downtown/Civic Center,2019-06-04,8,1,Room in hotel,Private room,2,1,209.0,5.3471075307174685,0
Nob Hill,2022-03-22,7,1,Entire loft,Entire home/apt,10,5,495.0,6.206575926724928,0
Downtown/Civic Center,2022-02-03,5,1,Entire condo,Entire home/apt,2,1,223.0,5.4116460518550396,0
Potrero Hill,2013-03-28,2,1,Private room in rental unit,Private room,2,1,250.0,5.5254529391317835,3
Outer Sunset,2017-04-19,8,1,Entire condo,Entire home/apt,6,4,156.0,5.056245805348308,2
Pacific Heights,2023-04-22,6,0,Shared room,Shared room,1,1,50.0,3.9318256327243257,0
Mission,2011-07-26,9,1,Private room in home,Private room,1,1,63.0,4.1588830833596715,1
Downtown/Civic Center,2022-02-03,5,1,Entire condo,Entire home/apt,2,1,238.0,5.476463551931511,0
South of Market,2014-12-01,1,1,Entire condo,Entire home/apt,3,1,250.0,5.5254529391317835,0
Mission,2012-12-17,154,1,Entire rental unit,Entire home/apt,2,1,110.0,4.709530201312334,3
Potrero Hill,2016-02-10,2,1,Entire home,Entire home/apt,5,3,480.0,6.175867270105761,3
Pacific Heights,2023-04-22,6,0,Shared room,Shared room,1,1,45.0,3.828641396489095,0
Pacific Heights,2023-04-22,6,0,Shared room,Shared room,1,1,45.0,3.828641396489095,0
Castro/Upper Market,2020-02-24,1,0,Entire home,Entire home/apt,4,2,449.0,6.1092475827643655,1
Bernal Heights,2012-10-18,1,1,Entire home,Entire home/apt,3,2,316.0,5.75890177387728,3
Parkside,2022-03-29,1,1,Private room in home,Private room,2,1,107.0,4.68213122712422,2
Potrero Hill,2013-08-14,7,1,Entire rental unit,Entire home/apt,4,1,139.0,4.941642422609304,3
Haight Ashbury,2022-03-18,1,1,Entire condo,Entire home/apt,4,3,149.0,5.0106352940962555,1
Marina,2015-08-14,1,1,Entire rental unit,Entire home/apt,2,1,120.0,4.795790545596741,0
Nob Hill,2021-07-28,1,1,Entire condo,Entire home/apt,6,3,305.0,5.723585101952381,0
Inner Sunset,2021-01-14,1,1,Entire rental unit,Entire home/apt,2,3,110.0,4.709530201312334,2
Mission,2015-11-16,1,1,Entire home,Entire home/apt,6,3,495.0,6.206575926724928,3
Inner Richmond,2012-12-04,2,1,Entire rental unit,Entire home/apt,5,4,364.0,5.8998973535824915,1
South of Market,2023-04-22,1,1,Entire rental unit,Entire home/apt,4,1,350.0,5.860786223465865,0
Western Addition,2023-04-30,1,1,Entire rental unit,Entire home/apt,6,7,400.0,5.993961427306569,1
Nob Hill,2022-07-12,1,1,Entire rental unit,Entire home/apt,2,1,128.0,4.859812404361672,0
Bayview,2017-04-19,8,1,Entire townhouse,Entire home/apt,6,3,194.0,5.272999558563747,3
Bernal Heights,2013-01-10,3,1,Entire condo,Entire home/apt,4,2,207.0,5.337538079701318,3
Bayview,2017-07-08,2,1,Private room in home,Private room,2,1,89.0,4.499809670330265,3
Western Addition,2022-04-01,1,1,Entire home,Entire home/apt,6,2,400.0,5.993961427306569,1
Noe Valley,2014-07-18,1,1,Entire guesthouse,Entire home/apt,2,2,139.0,4.941642422609304,1
Bernal Heights,2013-08-07,1,1,Entire rental unit,Entire home/apt,2,2,150.0,5.017279836814924,3
Outer Sunset,2023-05-15,1,1,Private room in rental unit,Private room,1,1,55.0,4.02535169073515,2
Financial District,2022-04-03,1,1,Entire condo,Entire home/apt,4,3,275.0,5.62040086571715,0
Mission,2011-08-28,4,0,Entire townhouse,Entire home/apt,6,2,750.0,6.621405651764134,3
Haight Ashbury,2009-06-17,14,1,Private room in rental unit,Private room,1,1,56.0,4.04305126783455,1
Inner Richmond,2017-10-01,1,1,Entire rental unit,Entire home/apt,6,5,233.0,5.455321115357702,2
Outer Sunset,2023-05-15,2,1,Private room in home,Private room,1,1,59.0,4.0943445622221,2
Crocker Amazon,2018-06-18,1,0,Private room in home,Private room,2,1,120.0,4.795790545596741,4
South of Market,2019-06-27,1,1,Entire condo,Entire home/apt,2,1,128.0,4.859812404361672,0
Downtown/Civic Center,2016-05-06,46,1,Entire serviced apartment,Entire home/apt,3,1,99.0,4.605170185988092,0
Outer Sunset,2022-03-23,3,1,Private room in home,Private room,2,1,60.0,4.110873864173311,2
Financial District,2021-10-29,3,1,Private room in serviced apartment,Private room,2,1,45.0,3.828641396489095,0
Pacific Heights,2013-02-21,1,1,Entire condo,Entire home/apt,5,4,800.0,6.68586094706836,1
Downtown/Civic Center,2016-05-06,46,1,Entire serviced apartment,Entire home/apt,3,1,130.0,4.875197323201151,0
Downtown/Civic Center,2016-05-06,46,1,Entire serviced apartment,Entire home/apt,3,1,130.0,4.875197323201151,0
Downtown/Civic Center,2016-05-06,46,1,Entire serviced apartment,Entire home/apt,3,1,130.0,4.875197323201151,0
Downtown/Civic Center,2016-05-06,46,1,Entire serviced apartment,Entire home/apt,3,1,130.0,4.875197323201151,0
Western Addition,2014-05-08,1,1,Entire condo,Entire home/apt,8,4,500.0,6.2166061010848646,1
Outer Mission,2022-03-14,4,1,Private room in home,Private room,3,2,61.0,4.127134385045092,4
Outer Sunset,2019-05-27,3,1,Entire guest suite,Entire home/apt,2,1,100.0,4.61512051684126,2
South of Market,2016-12-16,138,1,Entire rental unit,Entire home/apt,4,2,254.0,5.541263545158426,0
Outer Mission,2022-03-14,4,1,Private room in home,Private room,3,2,60.0,4.110873864173311,4
Bayview,2017-07-08,2,1,Private room in home,Private room,2,2,84.0,4.442651256490317,3
Glen Park,2011-08-04,1,1,Entire home,Entire home/apt,6,3,129.0,4.867534450455582,3
Mission,2022-04-08,1,1,Private room in home,Private room,4,2,189.0,5.247024072160486,3
Pacific Heights,2012-08-29,1,1,Entire rental unit,Entire home/apt,2,1,75.0,4.330733340286331,1
Pacific Heights,2014-11-02,2,1,Entire condo,Entire home/apt,4,2,284.0,5.652489180268651,0
Mission,2022-04-09,1,0,Entire rental unit,Entire home/apt,4,2,295.0,5.69035945432406,3
Haight Ashbury,2009-06-17,14,1,Private room in rental unit,Private room,1,1,55.0,4.02535169073515,1
Noe Valley,2010-01-15,1,1,Entire home,Entire home/apt,7,2,350.0,5.860786223465865,1
Mission,2014-08-02,1,1,Entire guest suite,Entire home/apt,2,1,120.0,4.795790545596741,3
Mission,2015-12-04,2,1,Entire rental unit,Entire home/apt,2,1,142.0,4.962844630259907,3
Western Addition,2015-06-22,2,1,Private room in condo,Private room,1,1,69.0,4.248495242049359,1
Russian Hill,2012-05-14,1,1,Entire condo,Entire home/apt,7,5,849.0,6.745236349484363,0
South of Market,2014-12-15,1,1,Private room in rental unit,Private room,1,1,97.0,4.584967478670572,0
Inner Sunset,2015-04-07,1,1,Entire guest suite,Entire home/apt,2,1,171.0,5.147494476813453,2
Marina,2015-04-29,1,1,Entire condo,Entire home/apt,6,3,633.0,6.452048954437226,1
Haight Ashbury,2017-08-30,10,1,Entire condo,Entire home/apt,4,3,245.0,5.5053315359323625,1
